,s-,e-k,a-d,l-r
0,0.0,0.0,0.0,1.0
1,0.0,0.0,1.0,0.0
2,0.0,1.0,0.0,1.0
3,0.0,1.0,0.0,1.0
4,2.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,1.0
7,0.0,0.0,0.0,0.0
8,0.0,2.0,0.0,0.0
9,1.0,0.0,0.0,0.0
10,0.0,1.0,1.0,1.0
11,2.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,1.0,0.0,0.0,0.0
14,2.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,1.0
18,0.0,0.0,0.0,0.0
19,1.0,1.0,4.0,1.0
20,0.0,0.0,1.0,0.0
21,1.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,1.0,1.0,1.0,2.0
25,1.0,1.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,1.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,1.0,0.0,0.0,0.0
32,0.0,0.0,4.0,2.0
33,0.0,2.0,0.0,0.0
34,0.0,4.0,0.0,0.0
35,0.0,1.0,0.0,0.0
36,2.0,0.0,0.0,0.0
37,0.0,0.0,0.0,1.0
38,0.0,1.0,0.0,0.0
39,2.0,0.0,5.0,1.0
40,4.0,2.0,2.0,0.0
41,5.0,2.0,1.0,1.0
42,1.0,3.0,2.0,0.0
43,0.0,0.0,2.0,0.0
44,0.0,0.0,2.0,0.0
45,0.0,0.0,1.0,1.0
46,1.0,1.0,0.0,1.0
47,2.0,1.0,1.0,0.0
48,0.0,1.0,0.0,1.0
49,2.0,1.0,1.0,1.0
50,0.0,0.0,4.0,1.0
51,1.0,0.0,0.0,2.0
52,0.0,0.0,1.0,3.0
53,0.0,1.0,0.0,0.0
54,1.0,2.0,2.0,1.0
55,0.0,1.0,0.0,0.0
56,1.0,1.0,0.0,0.0
57,1.0,0.0,1.0,1.0
58,0.0,2.0,0.0,1.0
59,0.0,1.0,3.0,0.0
60,0.0,0.0,0.0,0.0
61,1.0,1.0,0.0,0.0
62,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0
64,3.0,2.0,1.0,2.0
65,0.0,0.0,0.0,1.0
66,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,1.0
68,0.0,0.0,1.0,0.0
69,0.0,0.0,1.0,2.0
70,0.0,0.0,0.0,0.0
71,0.0,5.0,0.0,2.0
72,1.0,3.0,0.0,1.0
73,0.0,0.0,1.0,0.0
74,1.0,0.0,3.0,2.0
75,0.0,0.0,0.0,2.0
76,1.0,0.0,3.0,2.0
77,1.0,0.0,1.0,0.0
78,0.0,1.0,0.0,0.0
79,2.0,1.0,1.0,2.0
80,1.0,0.0,1.0,2.0
81,1.0,2.0,0.0,1.0
82,4.0,0.0,1.0,5.0
83,0.0,0.0,1.0,1.0
84,0.0,1.0,5.0,0.0
85,1.0,1.0,0.0,0.0
86,0.0,0.0,1.0,0.0
87,1.0,0.0,0.0,0.0
88,1.0,0.0,1.0,1.0
89,4.0,2.0,3.0,0.0
90,1.0,2.0,3.0,2.0
91,1.0,5.0,1.0,3.0
92,0.0,0.0,0.0,2.0
93,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,5.0
95,0.0,1.0,0.0,0.0
96,0.0,0.0,0.0,0.0
97,0.0,1.0,4.0,0.0
98,1.0,1.0,0.0,0.0
99,1.0,0.0,0.0,0.0
100,0.0,2.0,0.0,0.0
101,0.0,0.0,0.0,1.0
102,0.0,0.0,0.0,0.0
103,0.0,1.0,0.0,2.0
104,0.0,1.0,0.0,0.0
105,0.0,0.0,0.0,0.0
106,0.0,1.0,0.0,3.0
107,0.0,0.0,0.0,0.0
108,1.0,1.0,0.0,1.0
109,0.0,0.0,0.0,1.0
110,0.0,1.0,0.0,0.0
111,0.0,0.0,0.0,2.0
112,0.0,0.0,0.0,6.0
113,0.0,1.0,0.0,0.0
114,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0
116,2.0,2.0,0.0,0.0
117,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0
119,0.0,0.0,1.0,0.0
120,1.0,4.0,0.0,0.0
121,0.0,0.0,0.0,0.0
122,0.0,0.0,1.0,0.0
123,1.0,0.0,0.0,0.0
124,1.0,4.0,1.0,0.0
125,1.0,7.0,2.0,0.0
126,0.0,1.0,3.0,1.0
127,0.0,0.0,1.0,0.0
128,0.0,0.0,0.0,1.0
129,1.0,0.0,0.0,0.0
130,2.0,0.0,0.0,1.0
131,2.0,1.0,3.0,3.0
132,1.0,0.0,0.0,0.0
133,0.0,1.0,0.0,5.0
134,1.0,0.0,0.0,1.0
135,0.0,0.0,0.0,0.0
136,1.0,0.0,0.0,0.0
137,0.0,0.0,0.0,0.0
138,2.0,3.0,0.0,0.0
139,0.0,0.0,0.0,0.0
140,0.0,0.0,0.0,0.0
141,0.0,0.0,0.0,0.0
142,2.0,0.0,0.0,0.0
143,1.0,1.0,2.0,3.0
