,a-d,s-,l-r,e-k
0,0.0,0.0,0.0,1.0
1,0.3,0.3,0.3,0.1
2,0.1,0.2,0.4,0.3
3,0.0,0.2,0.5,0.3
4,0.5,0.2,0.2,0.1
5,0.3,0.4,0.1,0.2
6,0.0,0.4,0.4,0.2
7,0.0,0.5,0.3,0.2
8,0.1,0.2,0.1,0.6
9,0.2,0.3,0.4,0.1
10,0.0,0.5,0.2,0.3
11,0.5,0.3,0.1,0.1
12,0.4,0.2,0.2,0.2
13,0.0,0.8,0.2,0.0
14,0.1,0.2,0.4,0.3
15,0.0,0.1,0.1,0.8
16,0.3,0.1,0.3,0.3
17,0.4,0.1,0.2,0.3
18,0.0,0.5,0.1,0.4
19,0.3,0.2,0.1,0.4
20,0.3,0.0,0.7,0.0
21,0.5,0.5,0.0,0.0
22,0.8,0.0,0.1,0.1
23,0.2,0.2,0.1,0.5
24,0.1,0.1,0.4,0.4
25,0.2,0.5,0.1,0.2
26,0.0,0.1,0.4,0.5
27,0.1,0.2,0.4,0.3
28,0.3,0.0,0.3,0.4
29,0.4,0.0,0.2,0.4
30,0.1,0.2,0.1,0.6
31,0.2,0.2,0.4,0.2
32,0.6,0.0,0.2,0.2
33,0.4,0.1,0.3,0.2
34,0.3,0.0,0.1,0.6
35,0.2,0.4,0.3,0.1
36,0.2,0.4,0.1,0.3
37,0.0,0.4,0.1,0.5
38,0.2,0.6,0.1,0.1
39,0.2,0.3,0.2,0.3
40,0.3,0.2,0.3,0.2
41,0.3,0.3,0.4,0.0
42,0.4,0.1,0.1,0.4
43,0.5,0.1,0.3,0.1
44,0.3,0.2,0.3,0.2
45,0.3,0.1,0.4,0.2
46,0.2,0.4,0.2,0.2
47,0.2,0.4,0.0,0.4
48,0.4,0.3,0.0,0.3
49,0.2,0.3,0.4,0.1
50,0.5,0.0,0.3,0.2
51,0.3,0.2,0.3,0.2
52,0.3,0.1,0.4,0.2
53,0.0,0.6,0.2,0.2
54,0.3,0.3,0.1,0.3
55,0.2,0.0,0.6,0.2
56,0.3,0.2,0.3,0.2
57,0.3,0.2,0.5,0.0
58,0.3,0.0,0.4,0.3
59,0.4,0.2,0.1,0.3
60,0.2,0.1,0.7,0.0
61,0.3,0.3,0.1,0.3
62,1.0,0.0,0.0,0.0
63,0.1,0.1,0.3,0.5
64,0.4,0.2,0.2,0.2
65,0.2,0.4,0.1,0.3
66,1.0,0.0,0.0,0.0
67,0.2,0.0,0.7,0.1
68,0.5,0.3,0.1,0.1
69,0.3,0.2,0.4,0.1
70,0.0,0.0,1.0,0.0
71,0.2,0.1,0.3,0.4
72,0.1,0.2,0.3,0.4
73,0.4,0.1,0.2,0.3
74,0.1,0.2,0.1,0.6
75,0.0,0.4,0.4,0.2
76,0.2,0.3,0.5,0.0
77,0.3,0.2,0.2,0.3
78,0.3,0.0,0.2,0.5
79,0.1,0.3,0.2,0.4
80,0.1,0.2,0.4,0.3
81,0.0,0.1,0.5,0.4
82,0.1,0.3,0.4,0.2
83,0.4,0.2,0.1,0.3
84,0.8,0.0,0.1,0.1
85,0.0,0.1,0.3,0.6
86,0.4,0.1,0.3,0.2
87,0.1,0.3,0.4,0.2
88,0.2,0.4,0.3,0.1
89,0.2,0.6,0.2,0.0
90,0.2,0.1,0.3,0.4
91,0.5,0.1,0.1,0.3
92,0.4,0.1,0.3,0.2
93,0.3,0.1,0.4,0.2
94,0.0,0.1,0.5,0.4
95,0.0,0.2,0.4,0.4
96,0.2,0.4,0.1,0.3
97,0.3,0.4,0.3,0.0
98,0.3,0.1,0.1,0.5
99,0.3,0.3,0.3,0.1
100,0.1,0.5,0.2,0.2
101,0.2,0.1,0.6,0.1
102,0.0,1.0,0.0,0.0
103,0.1,0.1,0.7,0.1
104,0.4,0.0,0.4,0.2
105,0.0,0.6,0.1,0.3
106,0.4,0.1,0.3,0.2
107,0.2,0.2,0.1,0.5
108,0.3,0.2,0.3,0.2
109,0.0,0.2,0.3,0.5
110,0.0,0.3,0.5,0.2
111,0.3,0.3,0.4,0.0
112,0.0,0.0,1.0,0.0
113,0.3,0.2,0.3,0.2
114,0.2,0.1,0.3,0.4
115,0.2,0.1,0.3,0.4
116,0.1,0.3,0.1,0.5
117,0.3,0.1,0.4,0.2
118,0.0,0.5,0.1,0.4
119,0.4,0.0,0.4,0.2
120,0.2,0.2,0.1,0.5
121,0.0,0.1,0.7,0.2
122,0.1,0.5,0.2,0.2
123,0.5,0.1,0.2,0.2
124,0.1,0.3,0.3,0.3
125,0.5,0.2,0.0,0.3
126,0.2,0.1,0.1,0.6
127,0.3,0.2,0.3,0.2
128,0.2,0.2,0.3,0.3
129,0.2,0.4,0.2,0.2
130,0.4,0.3,0.2,0.1
131,0.2,0.1,0.4,0.3
132,0.5,0.1,0.4,0.0
133,0.0,0.0,1.0,0.0
134,0.0,0.0,1.0,0.0
135,0.2,0.3,0.3,0.2
136,0.4,0.3,0.1,0.2
137,0.2,0.1,0.5,0.2
138,0.3,0.1,0.2,0.4
139,0.2,0.1,0.3,0.4
140,0.5,0.1,0.3,0.1
141,0.2,0.3,0.5,0.0
142,0.2,0.1,0.5,0.2
143,0.2,0.1,0.4,0.3
