,e-k,l-r,s-,a-d
0,0.2,0.4,0.1,0.3
1,0.4,0.4,0.1,0.1
2,0.3,0.4,0.2,0.1
3,0.3,0.2,0.3,0.2
4,0.0,0.5,0.3,0.2
5,0.1,0.3,0.3,0.3
6,0.0,0.0,0.9,0.1
7,0.1,0.0,0.4,0.5
8,0.0,0.1,0.4,0.5
9,0.3,0.2,0.2,0.3
10,0.3,0.1,0.5,0.1
11,0.1,0.5,0.4,0.0
12,0.2,0.7,0.1,0.0
13,0.3,0.1,0.2,0.4
14,0.1,0.5,0.1,0.3
15,0.2,0.2,0.6,0.0
16,0.1,0.3,0.1,0.5
17,0.0,1.0,0.0,0.0
18,0.0,1.0,0.0,0.0
19,0.5,0.0,0.4,0.1
20,0.3,0.3,0.2,0.2
21,0.2,0.1,0.5,0.2
22,0.2,0.2,0.4,0.2
23,0.3,0.3,0.2,0.2
24,0.2,0.3,0.1,0.4
25,0.0,0.0,1.0,0.0
26,0.0,0.5,0.3,0.2
27,0.3,0.1,0.4,0.2
28,0.2,0.5,0.3,0.0
29,0.1,0.4,0.1,0.4
30,0.4,0.2,0.2,0.2
31,0.1,0.3,0.2,0.4
32,0.4,0.1,0.2,0.3
33,0.1,0.3,0.1,0.5
34,0.1,0.3,0.5,0.1
35,0.0,0.6,0.1,0.3
36,0.3,0.1,0.3,0.3
37,0.0,0.3,0.2,0.5
38,0.1,0.4,0.0,0.5
39,0.0,0.0,0.0,1.0
40,0.2,0.2,0.3,0.3
41,0.4,0.3,0.3,0.0
42,0.2,0.3,0.1,0.4
43,0.2,0.3,0.1,0.4
44,0.0,0.9,0.1,0.0
45,0.1,0.1,0.8,0.0
46,0.0,0.0,0.0,1.0
47,0.1,0.3,0.1,0.5
48,0.3,0.1,0.4,0.2
49,0.2,0.1,0.5,0.2
50,0.5,0.4,0.0,0.1
51,0.5,0.0,0.3,0.2
52,0.5,0.0,0.0,0.5
53,0.5,0.2,0.0,0.3
54,1.0,0.0,0.0,0.0
55,0.1,0.8,0.0,0.1
56,0.0,0.8,0.0,0.2
57,0.1,0.4,0.4,0.1
58,0.1,0.3,0.5,0.1
59,0.1,0.2,0.1,0.6
60,0.1,0.1,0.1,0.7
61,0.1,0.2,0.0,0.7
62,0.1,0.1,0.2,0.6
63,0.4,0.2,0.3,0.1
64,0.1,0.3,0.2,0.4
65,0.1,0.3,0.2,0.4
66,0.1,0.4,0.2,0.3
67,1.0,0.0,0.0,0.0
68,0.5,0.0,0.0,0.5
69,0.1,0.7,0.0,0.2
70,0.2,0.3,0.2,0.3
71,0.0,0.0,0.0,1.0
72,0.0,0.3,0.3,0.4
73,0.1,0.2,0.2,0.5
74,0.1,0.1,0.1,0.7
75,0.0,0.2,0.7,0.1
76,0.0,0.2,0.4,0.4
77,0.1,0.8,0.1,0.0
78,0.1,0.9,0.0,0.0
79,0.3,0.0,0.7,0.0
80,0.2,0.1,0.3,0.4
81,0.2,0.3,0.2,0.3
82,0.0,0.0,0.1,0.9
83,0.0,0.0,0.1,0.9
84,0.6,0.2,0.1,0.1
85,0.1,0.4,0.0,0.5
86,0.1,0.1,0.4,0.4
87,0.0,0.2,0.3,0.5
88,0.0,0.0,0.2,0.8
89,0.1,0.7,0.0,0.2
90,0.4,0.3,0.3,0.0
91,0.1,0.2,0.3,0.4
92,0.2,0.0,0.7,0.1
93,0.1,0.2,0.5,0.2
94,0.2,0.2,0.5,0.1
95,0.1,0.7,0.2,0.0
96,0.1,0.4,0.2,0.3
97,0.1,0.1,0.7,0.1
98,0.2,0.4,0.1,0.3
99,0.2,0.7,0.0,0.1
100,0.2,0.3,0.2,0.3
101,0.1,0.1,0.1,0.7
102,0.2,0.4,0.3,0.1
103,0.1,0.4,0.2,0.3
104,0.1,0.1,0.2,0.6
105,0.5,0.1,0.1,0.3
106,0.8,0.0,0.0,0.2
107,0.2,0.2,0.1,0.5
108,0.2,0.0,0.1,0.7
109,0.2,0.1,0.0,0.7
110,0.0,0.0,1.0,0.0
111,0.1,0.4,0.0,0.5
112,0.5,0.3,0.0,0.2
113,0.0,0.0,0.0,1.0
114,0.3,0.1,0.6,0.0
115,0.0,0.7,0.2,0.1
116,0.1,0.3,0.4,0.2
117,0.3,0.3,0.2,0.2
118,0.6,0.2,0.1,0.1
119,0.0,0.1,0.2,0.7
120,0.0,1.0,0.0,0.0
121,0.5,0.2,0.1,0.2
122,0.0,0.5,0.0,0.5
123,0.1,0.6,0.0,0.3
124,0.2,0.2,0.6,0.0
125,0.2,0.3,0.3,0.2
126,0.0,0.1,0.4,0.5
127,0.1,0.4,0.5,0.0
128,0.1,0.0,0.9,0.0
129,0.1,0.5,0.1,0.3
130,1.0,0.0,0.0,0.0
131,0.0,0.0,0.0,1.0
132,0.1,0.2,0.5,0.2
133,0.1,0.2,0.2,0.5
134,0.2,0.2,0.4,0.2
135,0.0,0.4,0.4,0.2
136,0.3,0.2,0.4,0.1
