,e-k,s-,a-d,l-r
0,0.2,0.0,0.2,0.6
1,0.4,0.2,0.1,0.3
2,0.2,0.3,0.2,0.3
3,0.7,0.1,0.1,0.1
4,0.1,0.3,0.4,0.2
5,0.0,0.0,1.0,0.0
6,0.0,1.0,0.0,0.0
7,0.2,0.1,0.6,0.1
8,0.0,0.9,0.1,0.0
9,0.5,0.5,0.0,0.0
10,0.3,0.3,0.2,0.2
11,0.5,0.0,0.3,0.2
12,0.1,0.1,0.1,0.7
13,0.1,0.1,0.6,0.2
14,1.0,0.0,0.0,0.0
15,0.0,0.9,0.0,0.1
16,0.3,0.2,0.3,0.2
17,0.0,0.0,0.0,1.0
18,0.0,0.0,0.0,1.0
19,0.1,0.6,0.1,0.2
20,0.5,0.2,0.0,0.3
21,0.2,0.6,0.2,0.0
22,0.3,0.1,0.2,0.4
23,0.0,0.0,1.0,0.0
24,0.3,0.1,0.3,0.3
25,0.0,1.0,0.0,0.0
26,0.0,0.6,0.2,0.2
27,0.4,0.3,0.1,0.2
28,0.0,0.1,0.0,0.9
29,0.0,0.0,0.9,0.1
30,0.7,0.2,0.0,0.1
31,0.2,0.3,0.3,0.2
32,0.4,0.4,0.1,0.1
33,0.0,0.0,0.0,1.0
34,0.1,0.4,0.1,0.4
35,0.1,0.0,0.8,0.1
36,0.4,0.3,0.2,0.1
37,0.0,0.1,0.9,0.0
38,0.3,0.2,0.5,0.0
39,0.0,0.0,1.0,0.0
40,0.3,0.3,0.1,0.3
41,0.0,0.3,0.1,0.6
42,0.0,0.1,0.4,0.5
43,0.1,0.2,0.0,0.7
44,0.0,0.0,0.0,1.0
45,0.0,0.7,0.1,0.2
46,0.0,0.0,1.0,0.0
47,0.0,0.0,1.0,0.0
48,0.5,0.3,0.0,0.2
49,0.2,0.6,0.0,0.2
50,0.6,0.2,0.1,0.1
51,0.2,0.2,0.5,0.1
52,0.6,0.0,0.3,0.1
53,0.7,0.0,0.2,0.1
54,1.0,0.0,0.0,0.0
55,0.0,0.1,0.1,0.8
56,0.1,0.1,0.2,0.6
57,0.0,0.5,0.2,0.3
58,0.3,0.3,0.1,0.3
59,0.1,0.1,0.3,0.5
60,0.0,0.0,1.0,0.0
61,0.3,0.0,0.6,0.1
62,0.0,0.1,0.9,0.0
63,0.3,0.1,0.5,0.1
64,0.6,0.1,0.0,0.3
65,0.1,0.3,0.4,0.2
66,0.6,0.2,0.1,0.1
67,0.9,0.0,0.0,0.1
68,0.1,0.2,0.7,0.0
69,0.4,0.4,0.0,0.2
70,0.2,0.4,0.3,0.1
71,0.1,0.0,0.9,0.0
72,0.0,0.0,0.3,0.7
73,0.1,0.2,0.3,0.4
74,0.1,0.1,0.5,0.3
75,0.4,0.0,0.3,0.3
76,0.0,0.2,0.7,0.1
77,0.1,0.2,0.2,0.5
78,0.0,0.0,0.0,1.0
79,0.4,0.2,0.2,0.2
80,0.3,0.0,0.2,0.5
81,0.0,1.0,0.0,0.0
82,0.0,0.0,0.9,0.1
83,0.0,0.1,0.8,0.1
84,0.4,0.1,0.1,0.4
85,0.3,0.2,0.1,0.4
86,0.1,0.1,0.6,0.2
87,0.2,0.5,0.1,0.2
88,0.2,0.4,0.4,0.0
89,0.0,0.1,0.2,0.7
90,0.7,0.1,0.0,0.2
91,0.4,0.4,0.0,0.2
92,0.1,0.8,0.1,0.0
93,0.5,0.0,0.2,0.3
94,0.2,0.8,0.0,0.0
95,0.4,0.1,0.2,0.3
96,0.5,0.2,0.2,0.1
97,0.0,1.0,0.0,0.0
98,0.1,0.2,0.4,0.3
99,0.1,0.3,0.1,0.5
100,0.2,0.2,0.3,0.3
101,0.1,0.0,0.3,0.6
102,0.1,0.3,0.0,0.6
103,0.1,0.2,0.2,0.5
104,0.1,0.2,0.6,0.1
105,0.0,0.6,0.2,0.2
106,0.2,0.1,0.5,0.2
107,0.1,0.5,0.3,0.1
108,0.3,0.0,0.6,0.1
109,0.0,0.2,0.6,0.2
110,0.2,0.8,0.0,0.0
111,0.0,0.0,0.9,0.1
112,0.1,0.1,0.7,0.1
113,0.0,0.0,1.0,0.0
114,0.3,0.4,0.1,0.2
115,0.3,0.4,0.1,0.2
116,0.0,0.6,0.1,0.3
117,0.2,0.3,0.3,0.2
118,0.5,0.3,0.1,0.1
119,0.0,0.0,1.0,0.0
120,0.0,0.0,0.0,1.0
121,0.1,0.1,0.3,0.5
122,0.0,0.2,0.3,0.5
123,0.3,0.1,0.1,0.5
124,0.2,0.1,0.1,0.6
125,0.3,0.2,0.0,0.5
126,0.2,0.1,0.5,0.2
127,0.1,0.6,0.2,0.1
128,0.1,0.3,0.5,0.1
129,0.0,0.2,0.2,0.6
130,0.8,0.0,0.1,0.1
131,0.1,0.1,0.1,0.7
132,0.5,0.1,0.1,0.3
133,0.1,0.0,0.3,0.6
134,0.7,0.1,0.1,0.1
135,0.1,0.4,0.1,0.4
136,0.2,0.1,0.6,0.1
137,0.0,1.0,0.0,0.0
138,0.4,0.3,0.2,0.1
139,0.6,0.1,0.1,0.2
140,0.0,0.1,0.9,0.0
141,0.1,0.1,0.8,0.0
142,0.2,0.4,0.0,0.4
143,0.1,0.2,0.5,0.2
144,0.1,0.3,0.2,0.4
145,0.1,0.1,0.6,0.2
146,0.1,0.0,0.8,0.1
147,0.0,0.0,0.6,0.4
148,0.2,0.3,0.4,0.1
149,0.0,0.1,0.9,0.0
150,0.1,0.0,0.6,0.3
151,0.0,0.1,0.8,0.1
152,0.4,0.2,0.3,0.1
153,0.2,0.1,0.1,0.6
154,0.8,0.0,0.2,0.0
155,0.2,0.6,0.0,0.2
156,0.1,0.7,0.0,0.2
157,0.4,0.2,0.0,0.4
158,0.5,0.2,0.0,0.3
159,0.1,0.1,0.6,0.2
160,0.4,0.2,0.1,0.3
161,0.3,0.5,0.1,0.1
162,0.4,0.2,0.4,0.0
163,0.1,0.1,0.6,0.2
164,0.0,0.1,0.0,0.9
165,0.1,0.2,0.6,0.1
166,0.0,0.1,0.7,0.2
167,0.5,0.1,0.0,0.4
168,0.5,0.0,0.0,0.5
169,0.0,0.3,0.0,0.7
170,0.1,0.4,0.2,0.3
171,0.2,0.3,0.2,0.3
172,0.0,0.7,0.1,0.2
173,1.0,0.0,0.0,0.0
174,0.0,0.9,0.0,0.1
175,0.3,0.1,0.2,0.4
176,0.0,0.1,0.4,0.5
177,0.0,0.0,1.0,0.0
178,0.2,0.5,0.1,0.2
179,0.3,0.2,0.2,0.3
180,0.1,0.9,0.0,0.0
181,0.0,0.0,1.0,0.0
182,0.2,0.3,0.4,0.1
183,0.0,0.8,0.2,0.0
184,0.8,0.0,0.2,0.0
185,0.0,0.8,0.1,0.1
186,0.1,0.0,0.1,0.8
187,0.3,0.0,0.7,0.0
188,0.2,0.6,0.2,0.0
189,0.2,0.6,0.1,0.1
190,0.2,0.1,0.1,0.6
191,0.2,0.5,0.3,0.0
192,0.0,0.1,0.9,0.0
193,0.1,0.6,0.3,0.0
194,0.2,0.4,0.1,0.3
195,0.1,0.1,0.0,0.8
196,0.3,0.2,0.5,0.0
197,0.0,0.0,0.9,0.1
198,0.5,0.2,0.3,0.0
199,0.1,0.1,0.2,0.6
200,0.1,0.0,0.6,0.3
201,0.5,0.1,0.3,0.1
202,0.2,0.3,0.2,0.3
203,0.3,0.6,0.0,0.1
204,0.2,0.0,0.6,0.2
205,0.0,0.7,0.0,0.3
206,0.3,0.2,0.1,0.4
207,0.2,0.0,0.5,0.3
208,0.3,0.2,0.5,0.0
209,0.6,0.2,0.0,0.2
210,0.1,0.1,0.7,0.1
211,0.0,0.0,0.1,0.9
212,0.2,0.0,0.2,0.6
213,0.2,0.3,0.3,0.2
214,0.0,0.1,0.4,0.5
215,0.6,0.2,0.0,0.2
216,0.7,0.1,0.0,0.2
217,0.2,0.2,0.2,0.4
218,0.0,1.0,0.0,0.0
219,0.0,0.7,0.2,0.1
220,0.0,0.0,0.9,0.1
221,0.3,0.3,0.1,0.3
222,0.1,0.0,0.7,0.2
223,0.5,0.1,0.2,0.2
224,0.6,0.2,0.0,0.2
225,0.2,0.1,0.6,0.1
226,0.3,0.1,0.5,0.1
227,0.7,0.2,0.1,0.0
228,0.7,0.1,0.1,0.1
229,0.0,0.0,1.0,0.0
230,0.1,0.2,0.1,0.6
231,0.9,0.0,0.0,0.1
232,0.8,0.0,0.2,0.0
233,0.1,0.0,0.0,0.9
234,0.3,0.5,0.2,0.0
235,0.1,0.7,0.2,0.0
236,0.4,0.2,0.1,0.3
237,0.2,0.2,0.5,0.1
238,0.1,0.7,0.0,0.2
239,0.6,0.1,0.2,0.1
240,0.1,0.3,0.5,0.1
241,0.0,0.1,0.1,0.8
242,0.0,0.0,0.9,0.1
243,0.5,0.1,0.2,0.2
244,0.1,0.0,0.7,0.2
