,s-,e-k,a-d,l-r
0,0.1,0.3,0.5,0.1
1,0.6,0.1,0.0,0.3
2,0.2,0.1,0.3,0.4
3,0.5,0.2,0.0,0.3
4,0.3,0.4,0.1,0.2
5,0.3,0.1,0.0,0.6
6,0.1,0.2,0.4,0.3
7,0.2,0.2,0.2,0.4
8,0.2,0.3,0.1,0.4
9,0.1,0.3,0.1,0.5
10,0.3,0.0,0.7,0.0
11,0.2,0.6,0.1,0.1
12,0.4,0.1,0.1,0.4
13,0.2,0.1,0.4,0.3
14,0.1,0.1,0.1,0.7
15,0.6,0.0,0.3,0.1
16,0.3,0.3,0.1,0.3
17,0.4,0.5,0.0,0.1
18,0.1,0.4,0.2,0.3
19,0.2,0.5,0.2,0.1
20,0.5,0.3,0.0,0.2
21,0.3,0.2,0.0,0.5
22,0.2,0.6,0.0,0.2
23,0.2,0.3,0.0,0.5
24,0.2,0.2,0.4,0.2
25,0.2,0.3,0.3,0.2
26,0.2,0.3,0.1,0.4
27,0.3,0.1,0.2,0.4
28,0.3,0.3,0.1,0.3
29,0.6,0.0,0.1,0.3
30,0.1,0.0,0.4,0.5
31,0.5,0.1,0.3,0.1
32,0.6,0.0,0.1,0.3
33,0.6,0.1,0.1,0.2
34,0.1,0.0,0.4,0.5
35,0.0,0.1,0.7,0.2
36,0.0,0.2,0.1,0.7
37,0.1,0.2,0.3,0.4
38,0.3,0.1,0.3,0.3
39,0.1,0.0,0.1,0.8
40,0.2,0.3,0.0,0.5
41,0.4,0.1,0.1,0.4
42,0.1,0.3,0.4,0.2
43,0.4,0.1,0.0,0.5
44,0.2,0.4,0.0,0.4
45,0.2,0.2,0.3,0.3
46,0.2,0.0,0.1,0.7
47,0.6,0.0,0.0,0.4
48,0.3,0.3,0.1,0.3
49,0.4,0.2,0.1,0.3
50,0.3,0.0,0.1,0.6
51,0.0,0.1,0.2,0.7
52,0.3,0.2,0.2,0.3
53,0.3,0.0,0.1,0.6
54,0.2,0.2,0.4,0.2
55,0.1,0.3,0.5,0.1
56,0.3,0.1,0.0,0.6
57,0.3,0.3,0.1,0.3
58,0.1,0.2,0.1,0.6
59,0.2,0.2,0.2,0.4
60,0.3,0.4,0.2,0.1
61,0.1,0.2,0.2,0.5
62,0.5,0.0,0.0,0.5
63,0.2,0.2,0.1,0.5
64,0.7,0.1,0.2,0.0
65,0.0,0.1,0.3,0.6
66,0.3,0.1,0.3,0.3
67,0.5,0.1,0.3,0.1
68,0.2,0.4,0.0,0.4
69,0.6,0.0,0.3,0.1
70,0.3,0.2,0.3,0.2
71,0.1,0.5,0.1,0.3
72,0.2,0.2,0.2,0.4
73,0.4,0.2,0.2,0.2
74,0.1,0.3,0.1,0.5
75,0.2,0.3,0.3,0.2
76,0.3,0.3,0.3,0.1
77,0.4,0.2,0.1,0.3
78,0.7,0.1,0.1,0.1
79,0.2,0.2,0.2,0.4
80,0.2,0.2,0.0,0.6
81,0.6,0.0,0.1,0.3
82,0.3,0.3,0.2,0.2
83,0.6,0.0,0.1,0.3
84,0.1,0.4,0.3,0.2
85,0.2,0.3,0.4,0.1
86,0.0,0.2,0.2,0.6
87,0.0,0.0,0.3,0.7
88,0.1,0.1,0.5,0.3
89,0.4,0.2,0.1,0.3
90,0.2,0.2,0.3,0.3
91,0.5,0.0,0.2,0.3
92,0.2,0.4,0.3,0.1
93,0.2,0.2,0.2,0.4
94,0.3,0.3,0.1,0.3
95,0.4,0.2,0.2,0.2
96,0.6,0.0,0.3,0.1
97,0.4,0.0,0.1,0.5
98,0.0,0.0,0.0,1.0
99,0.3,0.4,0.2,0.1
100,0.0,0.2,0.3,0.5
101,0.2,0.2,0.2,0.4
102,0.2,0.0,0.4,0.4
103,0.0,0.1,0.7,0.2
104,0.1,0.3,0.2,0.4
105,0.3,0.1,0.1,0.5
106,0.4,0.1,0.2,0.3
107,0.2,0.2,0.3,0.3
108,0.5,0.2,0.1,0.2
109,0.2,0.1,0.4,0.3
110,0.3,0.4,0.2,0.1
111,0.3,0.2,0.2,0.3
112,0.6,0.1,0.2,0.1
113,0.4,0.1,0.2,0.3
114,0.2,0.1,0.3,0.4
115,0.1,0.0,0.6,0.3
116,0.4,0.3,0.2,0.1
117,0.0,0.2,0.3,0.5
118,0.0,0.0,0.0,1.0
119,0.0,0.3,0.1,0.6
120,0.3,0.2,0.3,0.2
121,0.0,0.2,0.2,0.6
122,0.1,0.4,0.5,0.0
123,0.3,0.1,0.4,0.2
124,0.1,0.4,0.4,0.1
125,0.1,0.3,0.4,0.2
126,0.0,0.1,0.4,0.5
127,0.3,0.1,0.5,0.1
128,0.4,0.2,0.3,0.1
129,0.0,0.0,0.2,0.8
130,0.2,0.1,0.6,0.1
131,0.2,0.6,0.0,0.2
132,0.2,0.1,0.5,0.2
133,0.0,0.1,0.5,0.4
134,0.1,0.3,0.0,0.6
135,0.0,0.0,0.1,0.9
136,0.2,0.1,0.1,0.6
137,0.3,0.2,0.2,0.3
138,0.0,0.7,0.2,0.1
139,0.2,0.4,0.2,0.2
