,s-,a-d,e-k,l-r
0,0.1,0.3,0.2,0.4
1,0.1,0.1,0.4,0.4
2,0.2,0.1,0.3,0.4
3,0.3,0.2,0.3,0.2
4,0.3,0.2,0.0,0.5
5,0.3,0.3,0.1,0.3
6,0.9,0.1,0.0,0.0
7,0.4,0.5,0.1,0.0
8,0.4,0.5,0.0,0.1
9,0.2,0.3,0.3,0.2
10,0.5,0.1,0.3,0.1
11,0.4,0.0,0.1,0.5
12,0.1,0.0,0.2,0.7
13,0.2,0.4,0.3,0.1
14,0.1,0.3,0.1,0.5
15,0.6,0.0,0.2,0.2
16,0.1,0.5,0.1,0.3
17,0.0,0.0,0.0,1.0
18,0.0,0.0,0.0,1.0
19,0.4,0.1,0.5,0.0
20,0.2,0.2,0.3,0.3
21,0.5,0.2,0.2,0.1
22,0.4,0.2,0.2,0.2
23,0.2,0.2,0.3,0.3
24,0.1,0.4,0.2,0.3
25,1.0,0.0,0.0,0.0
26,0.3,0.2,0.0,0.5
27,0.4,0.2,0.3,0.1
28,0.3,0.0,0.2,0.5
29,0.1,0.4,0.1,0.4
30,0.2,0.2,0.4,0.2
31,0.2,0.4,0.1,0.3
32,0.2,0.3,0.4,0.1
33,0.1,0.5,0.1,0.3
34,0.5,0.1,0.1,0.3
35,0.1,0.3,0.0,0.6
36,0.3,0.3,0.3,0.1
37,0.2,0.5,0.0,0.3
38,0.0,0.5,0.1,0.4
39,0.0,1.0,0.0,0.0
40,0.3,0.3,0.2,0.2
41,0.3,0.0,0.4,0.3
42,0.1,0.4,0.2,0.3
43,0.1,0.4,0.2,0.3
44,0.1,0.0,0.0,0.9
45,0.8,0.0,0.1,0.1
46,0.0,1.0,0.0,0.0
47,0.1,0.5,0.1,0.3
48,0.4,0.2,0.3,0.1
49,0.5,0.2,0.2,0.1
50,0.0,0.1,0.5,0.4
51,0.3,0.2,0.5,0.0
52,0.0,0.5,0.5,0.0
53,0.0,0.3,0.5,0.2
54,0.0,0.0,1.0,0.0
55,0.0,0.1,0.1,0.8
56,0.0,0.2,0.0,0.8
57,0.4,0.1,0.1,0.4
58,0.5,0.1,0.1,0.3
59,0.1,0.6,0.1,0.2
60,0.1,0.7,0.1,0.1
61,0.0,0.7,0.1,0.2
62,0.2,0.6,0.1,0.1
63,0.3,0.1,0.4,0.2
64,0.2,0.4,0.1,0.3
65,0.2,0.4,0.1,0.3
66,0.2,0.3,0.1,0.4
67,0.0,0.0,1.0,0.0
68,0.0,0.5,0.5,0.0
69,0.0,0.2,0.1,0.7
70,0.2,0.3,0.2,0.3
71,0.0,1.0,0.0,0.0
72,0.3,0.4,0.0,0.3
73,0.2,0.5,0.1,0.2
74,0.1,0.7,0.1,0.1
75,0.7,0.1,0.0,0.2
76,0.4,0.4,0.0,0.2
77,0.1,0.0,0.1,0.8
78,0.0,0.0,0.1,0.9
79,0.7,0.0,0.3,0.0
80,0.3,0.4,0.2,0.1
81,0.2,0.3,0.2,0.3
82,0.1,0.9,0.0,0.0
83,0.1,0.9,0.0,0.0
84,0.1,0.1,0.6,0.2
85,0.0,0.5,0.1,0.4
86,0.4,0.4,0.1,0.1
87,0.3,0.5,0.0,0.2
88,0.2,0.8,0.0,0.0
89,0.0,0.2,0.1,0.7
90,0.3,0.0,0.4,0.3
91,0.3,0.4,0.1,0.2
92,0.7,0.1,0.2,0.0
93,0.5,0.2,0.1,0.2
94,0.5,0.1,0.2,0.2
95,0.2,0.0,0.1,0.7
96,0.2,0.3,0.1,0.4
97,0.7,0.1,0.1,0.1
98,0.1,0.3,0.2,0.4
99,0.0,0.1,0.2,0.7
100,0.2,0.3,0.2,0.3
101,0.1,0.7,0.1,0.1
102,0.3,0.1,0.2,0.4
103,0.2,0.3,0.1,0.4
104,0.2,0.6,0.1,0.1
105,0.1,0.3,0.5,0.1
106,0.0,0.2,0.8,0.0
107,0.1,0.5,0.2,0.2
108,0.1,0.7,0.2,0.0
109,0.0,0.7,0.2,0.1
110,1.0,0.0,0.0,0.0
111,0.0,0.5,0.1,0.4
112,0.0,0.2,0.5,0.3
113,0.0,1.0,0.0,0.0
114,0.6,0.0,0.3,0.1
115,0.2,0.1,0.0,0.7
116,0.4,0.2,0.1,0.3
117,0.2,0.2,0.3,0.3
118,0.1,0.1,0.6,0.2
119,0.2,0.7,0.0,0.1
120,0.0,0.0,0.0,1.0
121,0.1,0.2,0.5,0.2
122,0.0,0.5,0.0,0.5
123,0.0,0.3,0.1,0.6
124,0.6,0.0,0.2,0.2
125,0.3,0.2,0.2,0.3
126,0.4,0.5,0.0,0.1
127,0.5,0.0,0.1,0.4
128,0.9,0.0,0.1,0.0
129,0.1,0.3,0.1,0.5
130,0.0,0.0,1.0,0.0
131,0.0,1.0,0.0,0.0
132,0.5,0.2,0.1,0.2
133,0.2,0.5,0.1,0.2
134,0.4,0.2,0.2,0.2
135,0.4,0.2,0.0,0.4
136,0.4,0.1,0.3,0.2
137,0.7,0.2,0.0,0.1
138,0.2,0.2,0.5,0.1
139,0.1,0.1,0.3,0.5
140,0.2,0.8,0.0,0.0
141,0.1,0.3,0.0,0.6
142,0.4,0.1,0.4,0.1
143,0.3,0.3,0.2,0.2
144,0.2,0.3,0.1,0.4
145,0.4,0.4,0.2,0.0
146,0.0,0.8,0.1,0.1
147,0.1,0.9,0.0,0.0
148,0.2,0.4,0.4,0.0
149,0.3,0.3,0.2,0.2
150,0.0,0.4,0.4,0.2
151,0.0,0.9,0.0,0.1
152,0.2,0.3,0.3,0.2
153,0.2,0.0,0.1,0.7
154,0.2,0.3,0.2,0.3
155,1.0,0.0,0.0,0.0
156,0.3,0.1,0.3,0.3
157,0.2,0.5,0.1,0.2
158,0.3,0.4,0.2,0.1
159,0.3,0.2,0.2,0.3
160,0.2,0.3,0.3,0.2
161,0.3,0.1,0.3,0.3
162,0.4,0.3,0.0,0.3
163,0.4,0.2,0.1,0.3
164,0.1,0.1,0.6,0.2
165,0.1,0.3,0.4,0.2
166,0.3,0.5,0.1,0.1
167,0.1,0.4,0.3,0.2
168,0.3,0.4,0.1,0.2
169,0.4,0.2,0.3,0.1
170,0.4,0.3,0.1,0.2
171,0.1,0.3,0.3,0.3
172,0.6,0.1,0.1,0.2
173,0.0,0.0,1.0,0.0
174,0.9,0.0,0.0,0.1
175,0.2,0.3,0.3,0.2
176,0.5,0.1,0.1,0.3
177,0.0,0.6,0.3,0.1
178,0.1,0.4,0.2,0.3
179,0.3,0.1,0.5,0.1
180,0.5,0.1,0.1,0.3
181,0.0,1.0,0.0,0.0
182,0.3,0.4,0.0,0.3
183,0.7,0.0,0.3,0.0
184,0.1,0.0,0.9,0.0
185,0.3,0.2,0.3,0.2
186,0.2,0.1,0.4,0.3
187,0.0,0.6,0.3,0.1
188,0.9,0.0,0.0,0.1
189,0.2,0.4,0.2,0.2
190,0.0,0.5,0.3,0.2
191,0.4,0.1,0.1,0.4
192,0.0,1.0,0.0,0.0
193,0.2,0.3,0.5,0.0
194,0.3,0.3,0.4,0.0
195,0.3,0.1,0.2,0.4
196,0.3,0.4,0.3,0.0
197,0.1,0.9,0.0,0.0
198,0.1,0.4,0.2,0.3
199,0.0,0.0,0.0,1.0
200,0.2,0.6,0.1,0.1
201,0.2,0.2,0.3,0.3
202,0.3,0.1,0.2,0.4
203,0.5,0.4,0.0,0.1
204,0.0,0.4,0.4,0.2
205,0.8,0.0,0.1,0.1
206,0.1,0.2,0.5,0.2
207,0.4,0.2,0.1,0.3
208,0.1,0.6,0.2,0.1
209,0.1,0.2,0.2,0.5
210,0.1,0.5,0.1,0.3
211,0.1,0.4,0.4,0.1
212,0.3,0.0,0.4,0.3
213,0.4,0.4,0.1,0.1
214,0.3,0.3,0.3,0.1
215,0.2,0.2,0.4,0.2
216,0.3,0.4,0.1,0.2
217,0.3,0.3,0.1,0.3
218,0.1,0.3,0.3,0.3
219,0.1,0.5,0.1,0.3
220,0.1,0.7,0.2,0.0
221,0.4,0.3,0.3,0.0
222,0.2,0.6,0.2,0.0
223,0.1,0.3,0.2,0.4
224,0.2,0.0,0.6,0.2
225,0.3,0.4,0.1,0.2
226,0.6,0.0,0.2,0.2
227,0.4,0.1,0.2,0.3
228,0.3,0.3,0.2,0.2
229,0.2,0.5,0.1,0.2
230,0.2,0.4,0.2,0.2
231,0.6,0.1,0.3,0.0
232,0.5,0.4,0.1,0.0
233,0.2,0.1,0.1,0.6
234,0.0,0.4,0.2,0.4
235,0.3,0.1,0.5,0.1
236,0.1,0.1,0.5,0.3
237,0.3,0.3,0.4,0.0
238,0.2,0.1,0.3,0.4
239,0.1,0.4,0.3,0.2
240,0.1,0.6,0.1,0.2
241,0.6,0.0,0.0,0.4
242,0.0,1.0,0.0,0.0
243,0.3,0.0,0.4,0.3
244,0.2,0.3,0.3,0.2
