,l-r,s-,a-d,e-k
0,0.1,0.1,0.5,0.3
1,0.3,0.4,0.1,0.2
2,0.5,0.4,0.0,0.1
3,0.2,0.3,0.2,0.3
4,0.1,0.1,0.5,0.3
5,0.8,0.1,0.1,0.0
6,0.1,0.9,0.0,0.0
7,0.0,0.3,0.5,0.2
8,0.0,0.7,0.2,0.1
9,0.2,0.0,0.2,0.6
10,0.1,0.5,0.2,0.2
11,0.4,0.5,0.0,0.1
12,0.7,0.0,0.0,0.3
13,0.1,0.0,0.6,0.3
14,0.1,0.0,0.1,0.8
15,0.3,0.3,0.0,0.4
16,0.3,0.3,0.1,0.3
17,0.6,0.0,0.0,0.4
18,1.0,0.0,0.0,0.0
19,0.1,0.1,0.7,0.1
20,0.4,0.2,0.2,0.2
21,0.0,0.5,0.2,0.3
22,0.2,0.2,0.2,0.4
23,0.7,0.1,0.2,0.0
24,0.3,0.1,0.5,0.1
25,0.3,0.6,0.0,0.1
26,0.4,0.0,0.5,0.1
27,0.5,0.1,0.3,0.1
28,0.8,0.2,0.0,0.0
29,0.1,0.1,0.7,0.1
30,0.2,0.3,0.0,0.5
31,0.9,0.0,0.1,0.0
32,0.0,0.6,0.3,0.1
33,0.2,0.1,0.4,0.3
34,0.3,0.2,0.3,0.2
35,0.2,0.2,0.4,0.2
36,0.1,0.3,0.6,0.0
37,0.2,0.2,0.2,0.4
38,0.2,0.4,0.4,0.0
39,0.2,0.1,0.5,0.2
40,0.4,0.0,0.3,0.3
41,0.6,0.3,0.1,0.0
42,0.2,0.0,0.2,0.6
43,0.3,0.3,0.3,0.1
44,0.9,0.1,0.0,0.0
45,0.1,0.9,0.0,0.0
46,0.0,0.0,1.0,0.0
47,0.2,0.0,0.7,0.1
48,0.1,0.0,0.1,0.8
49,0.0,0.2,0.3,0.5
50,0.2,0.1,0.0,0.7
51,0.1,0.3,0.1,0.5
52,0.1,0.0,0.4,0.5
53,0.3,0.0,0.1,0.6
54,0.3,0.0,0.2,0.5
55,0.6,0.1,0.3,0.0
56,0.5,0.2,0.3,0.0
57,0.3,0.5,0.1,0.1
58,0.1,0.4,0.1,0.4
59,0.8,0.0,0.1,0.1
60,0.3,0.1,0.4,0.2
61,0.1,0.0,0.4,0.5
62,0.7,0.1,0.2,0.0
63,0.1,0.2,0.3,0.4
64,0.9,0.0,0.0,0.1
65,0.0,0.4,0.5,0.1
66,0.2,0.0,0.3,0.5
67,0.1,0.0,0.1,0.8
68,0.1,0.1,0.4,0.4
69,0.1,0.1,0.3,0.5
70,0.3,0.2,0.2,0.3
71,0.1,0.2,0.7,0.0
72,0.1,0.1,0.4,0.4
73,0.5,0.2,0.0,0.3
74,0.3,0.1,0.6,0.0
75,0.4,0.1,0.5,0.0
76,0.3,0.0,0.6,0.1
77,0.1,0.1,0.4,0.4
78,0.9,0.0,0.1,0.0
79,0.3,0.5,0.1,0.1
80,0.3,0.3,0.3,0.1
81,0.3,0.1,0.4,0.2
82,0.1,0.2,0.5,0.2
83,0.0,0.0,1.0,0.0
84,0.2,0.3,0.2,0.3
85,0.1,0.1,0.4,0.4
86,0.2,0.1,0.6,0.1
87,0.4,0.2,0.4,0.0
88,0.0,0.7,0.2,0.1
89,0.6,0.1,0.3,0.0
90,0.3,0.1,0.0,0.6
91,0.0,0.1,0.0,0.9
92,0.2,0.6,0.2,0.0
93,0.3,0.1,0.3,0.3
94,0.2,0.1,0.3,0.4
95,0.2,0.3,0.1,0.4
96,0.5,0.1,0.2,0.2
