,e-k,a-d,l-r,s-
0,0.3,0.4,0.2,0.1
1,0.1,0.2,0.1,0.6
2,0.2,0.3,0.1,0.4
3,0.2,0.3,0.3,0.2
4,0.3,0.1,0.2,0.4
5,0.1,0.3,0.3,0.3
6,0.5,0.1,0.3,0.1
7,0.2,0.1,0.3,0.4
8,0.1,0.1,0.5,0.3
9,0.2,0.3,0.4,0.1
10,0.1,0.6,0.2,0.1
11,0.1,0.1,0.5,0.3
12,0.1,0.2,0.4,0.3
13,0.1,0.1,0.4,0.4
14,0.0,0.2,0.7,0.1
15,0.1,0.2,0.2,0.5
16,0.2,0.2,0.4,0.2
17,0.3,0.0,0.3,0.4
18,0.1,0.2,0.5,0.2
19,0.2,0.3,0.3,0.2
20,0.1,0.0,0.4,0.5
21,0.4,0.0,0.4,0.2
22,0.4,0.1,0.3,0.2
23,0.5,0.0,0.2,0.3
24,0.1,0.3,0.3,0.3
25,0.1,0.3,0.1,0.5
26,0.4,0.2,0.4,0.0
27,0.1,0.1,0.2,0.6
28,0.6,0.0,0.3,0.1
29,0.0,0.2,0.1,0.7
30,0.0,0.3,0.6,0.1
31,0.1,0.2,0.5,0.2
32,0.2,0.2,0.1,0.5
33,0.2,0.1,0.1,0.6
34,0.1,0.4,0.3,0.2
35,0.1,0.1,0.3,0.5
36,0.0,0.5,0.4,0.1
37,0.3,0.3,0.2,0.2
38,0.0,0.3,0.1,0.6
39,0.1,0.3,0.5,0.1
40,0.1,0.3,0.4,0.2
41,0.1,0.3,0.2,0.4
42,0.1,0.1,0.5,0.3
43,0.1,0.1,0.5,0.3
44,0.3,0.4,0.2,0.1
45,0.3,0.1,0.3,0.3
46,0.0,0.1,0.5,0.4
47,0.1,0.2,0.4,0.3
48,0.5,0.1,0.2,0.2
49,0.1,0.2,0.5,0.2
50,0.0,0.3,0.5,0.2
51,0.3,0.1,0.6,0.0
52,0.1,0.2,0.3,0.4
53,0.1,0.3,0.4,0.2
54,0.2,0.3,0.5,0.0
55,0.1,0.2,0.6,0.1
56,0.0,0.0,0.5,0.5
57,0.2,0.2,0.1,0.5
58,0.2,0.3,0.3,0.2
59,0.3,0.4,0.3,0.0
60,0.5,0.2,0.2,0.1
61,0.1,0.1,0.6,0.2
62,0.1,0.2,0.4,0.3
63,0.2,0.2,0.3,0.3
64,0.0,0.3,0.4,0.3
65,0.1,0.6,0.3,0.0
66,0.1,0.0,0.7,0.2
67,0.0,0.5,0.2,0.3
68,0.8,0.1,0.1,0.0
69,0.0,0.1,0.4,0.5
70,0.4,0.0,0.4,0.2
71,0.2,0.1,0.2,0.5
72,0.2,0.2,0.2,0.4
73,0.2,0.2,0.2,0.4
74,0.1,0.2,0.5,0.2
75,0.3,0.2,0.4,0.1
76,0.2,0.2,0.3,0.3
77,0.1,0.1,0.4,0.4
78,0.1,0.3,0.2,0.4
79,0.2,0.3,0.3,0.2
80,0.0,0.0,1.0,0.0
81,0.1,0.3,0.3,0.3
82,0.3,0.1,0.1,0.5
83,0.3,0.4,0.3,0.0
84,0.1,0.1,0.7,0.1
85,0.0,0.4,0.6,0.0
86,0.1,0.3,0.4,0.2
87,0.0,0.3,0.6,0.1
88,0.1,0.3,0.2,0.4
89,0.0,0.0,1.0,0.0
90,0.4,0.2,0.2,0.2
91,0.2,0.2,0.4,0.2
92,0.6,0.1,0.1,0.2
93,0.2,0.3,0.1,0.4
94,0.6,0.1,0.2,0.1
95,0.0,0.1,0.4,0.5
96,0.2,0.4,0.0,0.4
97,0.2,0.1,0.4,0.3
98,0.0,0.0,1.0,0.0
99,0.2,0.0,0.1,0.7
100,0.1,0.5,0.4,0.0
101,0.3,0.3,0.3,0.1
102,0.0,0.0,1.0,0.0
103,0.1,0.7,0.2,0.0
104,0.0,0.2,0.5,0.3
105,0.2,0.0,0.5,0.3
106,0.4,0.0,0.3,0.3
107,0.2,0.1,0.4,0.3
108,0.1,0.1,0.2,0.6
109,0.2,0.4,0.0,0.4
110,0.4,0.3,0.2,0.1
111,0.4,0.2,0.2,0.2
112,0.2,0.2,0.3,0.3
113,0.1,0.2,0.2,0.5
114,0.3,0.2,0.2,0.3
115,0.1,0.2,0.4,0.3
116,0.3,0.2,0.2,0.3
117,0.1,0.2,0.4,0.3
118,0.0,0.1,0.8,0.1
119,0.2,0.0,0.5,0.3
120,0.2,0.1,0.2,0.5
