,a-d,e-k,l-r,s-
0,0.0,0.7,0.2,0.1
1,0.6,0.1,0.0,0.3
2,0.1,0.4,0.4,0.1
3,0.4,0.3,0.3,0.0
4,0.3,0.2,0.1,0.4
5,0.4,0.3,0.0,0.3
6,0.0,0.1,0.4,0.5
7,0.0,0.1,0.3,0.6
8,0.2,0.3,0.3,0.2
9,0.3,0.3,0.0,0.4
10,0.2,0.3,0.3,0.2
11,0.3,0.2,0.0,0.5
12,0.1,0.5,0.1,0.3
13,0.1,0.0,0.3,0.6
14,0.2,0.3,0.1,0.4
15,0.0,0.6,0.2,0.2
16,0.3,0.3,0.3,0.1
17,0.3,0.2,0.3,0.2
18,0.5,0.1,0.3,0.1
19,0.4,0.2,0.2,0.2
20,0.4,0.3,0.3,0.0
21,0.2,0.4,0.1,0.3
22,0.6,0.1,0.1,0.2
23,0.4,0.5,0.0,0.1
24,0.2,0.3,0.4,0.1
25,0.2,0.4,0.0,0.4
26,0.0,0.5,0.3,0.2
27,0.0,0.4,0.5,0.1
28,0.2,0.4,0.3,0.1
29,0.5,0.2,0.3,0.0
30,0.0,0.5,0.4,0.1
31,0.1,0.1,0.3,0.5
32,0.6,0.0,0.3,0.1
33,0.3,0.5,0.1,0.1
34,0.0,0.9,0.1,0.0
35,0.0,0.2,0.3,0.5
36,0.1,0.1,0.3,0.5
37,0.0,0.4,0.4,0.2
38,0.4,0.1,0.1,0.4
39,0.5,0.0,0.1,0.4
40,0.3,0.2,0.1,0.4
41,0.1,0.2,0.2,0.5
42,0.4,0.4,0.0,0.2
43,0.3,0.2,0.2,0.3
44,0.4,0.1,0.3,0.2
45,0.2,0.0,0.5,0.3
46,0.2,0.2,0.5,0.1
47,0.1,0.5,0.1,0.3
48,0.0,0.6,0.1,0.3
49,0.2,0.2,0.3,0.3
50,0.6,0.1,0.2,0.1
51,0.4,0.1,0.2,0.3
52,0.3,0.1,0.5,0.1
53,0.0,0.3,0.0,0.7
54,0.3,0.3,0.2,0.2
55,0.2,0.3,0.5,0.0
56,0.1,0.2,0.4,0.3
57,0.2,0.3,0.4,0.1
58,0.2,0.5,0.3,0.0
59,0.5,0.1,0.3,0.1
60,0.4,0.0,0.4,0.2
61,0.2,0.2,0.2,0.4
62,1.0,0.0,0.0,0.0
63,0.2,0.4,0.3,0.1
64,0.2,0.2,0.3,0.3
65,0.1,0.1,0.3,0.5
66,1.0,0.0,0.0,0.0
67,0.0,0.0,0.9,0.1
68,0.4,0.4,0.1,0.1
69,0.5,0.1,0.3,0.1
70,0.0,0.1,0.9,0.0
71,0.0,0.5,0.5,0.0
72,0.0,0.4,0.4,0.2
73,0.3,0.2,0.3,0.2
74,0.3,0.0,0.3,0.4
75,0.2,0.1,0.6,0.1
76,0.5,0.0,0.2,0.3
77,0.3,0.2,0.2,0.3
78,0.3,0.3,0.2,0.2
79,0.1,0.2,0.5,0.2
80,0.1,0.3,0.4,0.2
81,0.0,0.3,0.5,0.2
82,0.1,0.0,0.5,0.4
83,0.2,0.1,0.4,0.3
84,0.8,0.2,0.0,0.0
85,0.2,0.7,0.0,0.1
86,0.4,0.1,0.3,0.2
87,0.3,0.0,0.4,0.3
88,0.3,0.1,0.3,0.3
89,0.4,0.2,0.0,0.4
90,0.3,0.3,0.3,0.1
91,0.1,0.5,0.3,0.1
92,0.3,0.4,0.3,0.0
93,0.0,0.0,0.2,0.8
94,0.0,0.1,0.9,0.0
95,0.6,0.1,0.3,0.0
96,0.5,0.3,0.1,0.1
97,0.7,0.3,0.0,0.0
98,0.1,0.7,0.1,0.1
99,0.4,0.1,0.4,0.1
100,0.0,0.4,0.4,0.2
101,0.1,0.2,0.4,0.3
102,0.0,0.0,0.0,1.0
103,0.0,0.1,0.9,0.0
104,0.4,0.2,0.4,0.0
105,0.4,0.1,0.0,0.5
106,0.2,0.1,0.6,0.1
107,0.3,0.1,0.3,0.3
108,0.2,0.3,0.3,0.2
109,0.1,0.5,0.2,0.2
110,0.0,0.4,0.3,0.3
111,0.3,0.2,0.4,0.1
112,0.1,0.0,0.9,0.0
113,0.3,0.1,0.5,0.1
114,0.2,0.3,0.3,0.2
115,0.2,0.1,0.3,0.4
116,0.2,0.5,0.0,0.3
117,0.4,0.1,0.3,0.2
118,0.2,0.4,0.2,0.2
119,0.2,0.3,0.2,0.3
120,0.1,0.6,0.1,0.2
121,0.2,0.2,0.3,0.3
122,0.4,0.0,0.2,0.4
123,0.2,0.2,0.4,0.2
124,0.2,0.4,0.1,0.3
125,0.2,0.7,0.0,0.1
126,0.3,0.5,0.1,0.1
127,0.2,0.1,0.3,0.4
128,0.1,0.3,0.4,0.2
129,0.2,0.2,0.3,0.3
130,0.2,0.2,0.2,0.4
131,0.4,0.1,0.3,0.2
132,0.4,0.0,0.3,0.3
133,0.0,0.1,0.9,0.0
134,0.0,0.1,0.5,0.4
135,0.0,0.1,0.5,0.4
136,0.2,0.1,0.5,0.2
137,0.1,0.3,0.1,0.5
138,0.1,0.5,0.1,0.3
139,0.1,0.4,0.3,0.2
140,0.3,0.2,0.2,0.3
141,0.0,0.0,0.6,0.4
142,0.0,0.2,0.6,0.2
143,0.3,0.1,0.3,0.3
