,a-d,e-k,s-,l-r
0,0.0,0.3,0.2,0.5
1,0.3,0.3,0.3,0.1
2,0.0,0.3,0.5,0.2
3,0.4,0.2,0.1,0.3
4,0.2,0.5,0.1,0.2
5,0.1,0.3,0.2,0.4
6,0.2,0.3,0.1,0.4
7,0.4,0.3,0.2,0.1
8,0.1,0.2,0.3,0.4
9,0.2,0.2,0.2,0.4
10,0.1,0.1,0.6,0.2
11,0.3,0.4,0.2,0.1
12,0.4,0.2,0.2,0.2
13,0.4,0.2,0.0,0.4
14,0.1,0.1,0.0,0.8
15,0.3,0.3,0.2,0.2
16,0.0,0.2,0.6,0.2
17,0.3,0.3,0.1,0.3
18,0.2,0.5,0.0,0.3
19,0.2,0.3,0.0,0.5
20,0.2,0.3,0.2,0.3
21,0.1,0.4,0.2,0.3
22,0.2,0.2,0.3,0.3
23,0.0,0.2,0.4,0.4
24,0.4,0.2,0.0,0.4
25,0.3,0.2,0.5,0.0
26,0.1,0.5,0.2,0.2
27,0.6,0.1,0.3,0.0
28,0.1,0.5,0.2,0.2
29,0.4,0.3,0.2,0.1
30,0.4,0.2,0.2,0.2
31,0.1,0.2,0.3,0.4
32,0.4,0.4,0.1,0.1
33,0.2,0.2,0.3,0.3
34,0.3,0.2,0.1,0.4
35,0.4,0.1,0.1,0.4
36,0.4,0.4,0.1,0.1
37,0.4,0.3,0.2,0.1
38,0.4,0.4,0.1,0.1
39,0.3,0.2,0.3,0.2
40,0.1,0.2,0.1,0.6
41,0.4,0.4,0.1,0.1
42,0.4,0.4,0.1,0.1
43,0.4,0.3,0.1,0.2
44,0.2,0.0,0.0,0.8
45,0.1,0.3,0.2,0.4
46,0.2,0.0,0.2,0.6
47,0.4,0.3,0.1,0.2
48,0.2,0.2,0.3,0.3
49,0.4,0.4,0.1,0.1
50,0.2,0.0,0.2,0.6
51,0.1,0.2,0.0,0.7
52,0.4,0.4,0.1,0.1
53,0.0,0.2,0.6,0.2
54,0.4,0.1,0.0,0.5
55,0.3,0.2,0.4,0.1
56,0.3,0.3,0.1,0.3
57,0.0,0.3,0.3,0.4
58,0.2,0.2,0.3,0.3
59,0.7,0.0,0.1,0.2
60,0.3,0.2,0.4,0.1
61,0.4,0.4,0.0,0.2
62,0.3,0.3,0.2,0.2
63,0.1,0.2,0.1,0.6
64,0.4,0.3,0.1,0.2
65,0.2,0.0,0.1,0.7
66,0.3,0.3,0.1,0.3
67,0.2,0.3,0.2,0.3
68,0.2,0.2,0.4,0.2
69,0.3,0.3,0.1,0.3
70,0.0,0.2,0.1,0.7
71,0.1,0.2,0.1,0.6
72,0.3,0.2,0.2,0.3
73,0.5,0.3,0.1,0.1
74,0.4,0.4,0.1,0.1
75,0.2,0.2,0.3,0.3
76,0.3,0.2,0.4,0.1
77,0.2,0.1,0.4,0.3
78,0.5,0.3,0.1,0.1
79,0.2,0.3,0.1,0.4
80,0.3,0.1,0.1,0.5
81,0.5,0.0,0.1,0.4
82,0.0,0.1,0.1,0.8
83,0.7,0.1,0.1,0.1
84,0.4,0.2,0.1,0.3
85,0.3,0.3,0.2,0.2
86,0.4,0.3,0.1,0.2
87,0.3,0.1,0.0,0.6
88,0.3,0.1,0.0,0.6
89,0.1,0.3,0.0,0.6
90,0.6,0.0,0.2,0.2
91,0.4,0.2,0.0,0.4
92,0.4,0.3,0.1,0.2
93,0.3,0.2,0.1,0.4
94,0.2,0.4,0.2,0.2
95,0.1,0.0,0.4,0.5
96,0.4,0.4,0.1,0.1
97,0.2,0.0,0.2,0.6
98,0.0,0.0,0.0,1.0
99,0.9,0.1,0.0,0.0
100,0.3,0.2,0.0,0.5
101,0.3,0.3,0.1,0.3
102,0.5,0.1,0.0,0.4
103,0.6,0.2,0.1,0.1
104,0.1,0.3,0.3,0.3
105,0.4,0.4,0.1,0.1
106,0.2,0.4,0.0,0.4
107,0.3,0.1,0.1,0.5
108,0.2,0.2,0.4,0.2
109,0.8,0.1,0.1,0.0
110,0.4,0.3,0.1,0.2
111,0.0,0.6,0.0,0.4
112,0.2,0.5,0.1,0.2
113,0.0,0.1,0.3,0.6
114,0.4,0.3,0.1,0.2
115,0.5,0.3,0.2,0.0
116,0.4,0.3,0.1,0.2
117,0.0,0.3,0.2,0.5
118,0.2,0.0,0.0,0.8
119,0.2,0.2,0.0,0.6
120,0.4,0.3,0.1,0.2
121,0.5,0.1,0.1,0.3
122,0.4,0.0,0.6,0.0
123,0.1,0.2,0.3,0.4
124,0.4,0.3,0.1,0.2
125,0.1,0.1,0.3,0.5
126,0.5,0.0,0.2,0.3
127,0.4,0.3,0.1,0.2
128,0.3,0.2,0.3,0.2
129,0.5,0.0,0.2,0.3
130,0.5,0.1,0.1,0.3
131,0.1,0.1,0.3,0.5
132,0.2,0.2,0.2,0.4
133,0.9,0.1,0.0,0.0
134,0.0,0.3,0.3,0.4
135,0.3,0.0,0.1,0.6
136,0.2,0.2,0.1,0.5
137,1.0,0.0,0.0,0.0
138,0.4,0.3,0.1,0.2
139,0.4,0.4,0.1,0.1
140,0.4,0.3,0.1,0.2
141,0.1,0.1,0.2,0.6
142,0.6,0.2,0.0,0.2
143,0.6,0.2,0.0,0.2
144,0.1,0.2,0.5,0.2
145,0.3,0.3,0.1,0.3
146,0.3,0.4,0.2,0.1
147,0.4,0.4,0.1,0.1
148,0.4,0.1,0.0,0.5
149,0.1,0.6,0.0,0.3
150,0.4,0.4,0.1,0.1
151,0.4,0.1,0.2,0.3
152,0.4,0.4,0.1,0.1
153,0.4,0.3,0.1,0.2
154,0.2,0.1,0.4,0.3
155,0.4,0.3,0.1,0.2
156,0.3,0.2,0.0,0.5
157,0.5,0.2,0.1,0.2
158,0.4,0.3,0.1,0.2
