,Unknown,Pre-1900s,21st century,20th century
0,2.0,0.0,0.0,0.0
1,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,2.0,0.0,0.0,0.0
5,1.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,1.0,0.0,0.0,0.0
10,3.0,0.0,0.0,0.0
11,3.0,0.0,0.0,0.0
12,3.0,0.0,0.0,0.0
13,1.0,0.0,0.0,0.0
14,2.0,0.0,0.0,0.0
15,1.0,0.0,0.0,1.0
16,0.0,0.0,1.0,5.0
17,0.0,0.0,1.0,2.0
18,1.0,0.0,1.0,5.0
19,1.0,0.0,0.0,1.0
20,0.0,1.0,1.0,0.0
21,2.0,0.0,0.0,0.0
22,0.0,0.0,1.0,2.0
23,0.0,1.0,0.0,1.0
24,2.0,0.0,0.0,0.0
25,2.0,0.0,0.0,1.0
26,1.0,0.0,0.0,1.0
27,0.0,5.0,0.0,3.0
28,0.0,0.0,2.0,1.0
29,0.0,2.0,0.0,2.0
30,1.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,1.0,0.0,0.0,0.0
34,1.0,0.0,0.0,0.0
35,2.0,0.0,0.0,0.0
36,2.0,0.0,0.0,0.0
37,2.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,1.0,0.0,0.0,0.0
40,1.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0
42,0.0,0.0,2.0,0.0
43,1.0,0.0,0.0,2.0
44,3.0,1.0,0.0,0.0
45,0.0,2.0,0.0,2.0
46,3.0,0.0,0.0,0.0
47,0.0,3.0,0.0,1.0
48,0.0,0.0,3.0,4.0
49,0.0,0.0,0.0,0.0
50,2.0,4.0,0.0,3.0
51,0.0,4.0,0.0,4.0
52,2.0,0.0,0.0,0.0
53,2.0,1.0,0.0,2.0
54,1.0,0.0,0.0,0.0
55,0.0,2.0,0.0,0.0
56,0.0,1.0,0.0,8.0
57,2.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0
60,1.0,0.0,0.0,1.0
61,0.0,0.0,0.0,1.0
62,0.0,0.0,0.0,0.0
63,1.0,0.0,0.0,0.0
64,0.0,3.0,0.0,0.0
65,2.0,0.0,0.0,0.0
66,0.0,0.0,2.0,5.0
67,6.0,0.0,0.0,0.0
68,9.0,0.0,1.0,0.0
69,1.0,3.0,0.0,1.0
70,1.0,0.0,0.0,1.0
71,0.0,2.0,1.0,6.0
72,0.0,1.0,2.0,0.0
73,10.0,0.0,0.0,0.0
74,1.0,1.0,0.0,0.0
75,0.0,0.0,0.0,0.0
76,2.0,1.0,0.0,2.0
77,0.0,6.0,0.0,4.0
78,2.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0
80,4.0,0.0,0.0,0.0
81,5.0,0.0,0.0,0.0
82,7.0,0.0,0.0,0.0
83,2.0,0.0,0.0,0.0
84,1.0,0.0,0.0,0.0
85,2.0,0.0,0.0,0.0
86,10.0,0.0,0.0,0.0
87,3.0,0.0,0.0,0.0
88,6.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0
90,2.0,0.0,0.0,0.0
91,7.0,0.0,2.0,0.0
92,3.0,0.0,0.0,0.0
93,1.0,0.0,0.0,0.0
94,7.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0
96,6.0,0.0,0.0,0.0
97,5.0,4.0,0.0,0.0
98,7.0,0.0,0.0,0.0
99,10.0,0.0,0.0,0.0
100,2.0,0.0,2.0,3.0
