,a-d,s-,l-r,e-k
0,0.0,0.0,0.0,1.0
1,1.0,0.0,1.0,0.0
2,0.0,0.0,2.0,2.0
3,0.0,0.0,0.0,0.0
4,2.0,1.0,1.0,1.0
5,0.0,1.0,1.0,0.0
6,0.0,0.0,1.0,0.0
7,0.0,0.0,1.0,0.0
8,0.0,1.0,0.0,2.0
9,0.0,1.0,0.0,0.0
10,0.0,3.0,1.0,3.0
11,0.0,0.0,1.0,0.0
12,0.0,1.0,0.0,1.0
13,0.0,2.0,0.0,0.0
14,0.0,2.0,0.0,0.0
15,0.0,0.0,1.0,2.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,3.0,2.0,1.0,0.0
20,2.0,0.0,1.0,0.0
21,0.0,1.0,0.0,0.0
22,4.0,0.0,0.0,1.0
23,0.0,0.0,0.0,0.0
24,1.0,0.0,0.0,0.0
25,1.0,3.0,1.0,0.0
26,0.0,1.0,2.0,3.0
27,0.0,0.0,2.0,0.0
28,1.0,0.0,1.0,0.0
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,1.0
31,2.0,2.0,1.0,2.0
32,4.0,0.0,1.0,1.0
33,2.0,0.0,1.0,1.0
34,2.0,0.0,1.0,3.0
35,2.0,0.0,0.0,1.0
36,1.0,1.0,1.0,1.0
37,0.0,2.0,0.0,0.0
38,0.0,2.0,0.0,1.0
39,0.0,2.0,0.0,1.0
40,3.0,2.0,3.0,2.0
41,3.0,3.0,4.0,0.0
42,3.0,1.0,0.0,3.0
43,2.0,0.0,0.0,0.0
44,2.0,1.0,0.0,0.0
45,2.0,0.0,1.0,0.0
46,1.0,1.0,1.0,0.0
47,2.0,2.0,0.0,0.0
48,0.0,0.0,0.0,0.0
49,0.0,0.0,1.0,0.0
50,3.0,0.0,1.0,1.0
51,0.0,0.0,0.0,0.0
52,2.0,1.0,2.0,1.0
53,0.0,0.0,0.0,1.0
54,1.0,0.0,0.0,0.0
55,0.0,0.0,2.0,0.0
56,0.0,1.0,0.0,2.0
57,2.0,1.0,0.0,0.0
58,1.0,0.0,1.0,1.0
59,1.0,0.0,0.0,1.0
60,1.0,0.0,2.0,0.0
61,0.0,2.0,0.0,2.0
62,1.0,0.0,0.0,0.0
63,0.0,0.0,0.0,1.0
64,4.0,1.0,2.0,2.0
65,1.0,0.0,0.0,1.0
66,0.0,0.0,0.0,0.0
67,1.0,0.0,1.0,0.0
68,0.0,1.0,0.0,0.0
69,0.0,0.0,2.0,0.0
70,0.0,0.0,2.0,0.0
71,2.0,1.0,3.0,4.0
72,1.0,2.0,3.0,4.0
73,1.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0
75,0.0,4.0,4.0,2.0
76,0.0,1.0,1.0,0.0
77,0.0,1.0,1.0,1.0
78,0.0,0.0,0.0,1.0
79,1.0,2.0,0.0,1.0
80,1.0,1.0,2.0,0.0
81,0.0,0.0,1.0,2.0
82,1.0,3.0,4.0,2.0
83,1.0,1.0,1.0,0.0
84,5.0,0.0,0.0,0.0
85,0.0,0.0,0.0,1.0
86,2.0,0.0,0.0,0.0
87,1.0,2.0,4.0,2.0
88,0.0,1.0,0.0,0.0
89,0.0,1.0,0.0,0.0
90,0.0,1.0,3.0,3.0
91,0.0,0.0,1.0,0.0
92,0.0,0.0,0.0,0.0
93,1.0,0.0,0.0,0.0
94,0.0,0.0,1.0,0.0
95,0.0,0.0,0.0,1.0
96,1.0,1.0,0.0,0.0
97,0.0,1.0,0.0,0.0
98,2.0,0.0,0.0,1.0
99,2.0,1.0,2.0,0.0
100,0.0,1.0,0.0,0.0
101,0.0,0.0,1.0,1.0
102,0.0,0.0,0.0,0.0
103,0.0,0.0,1.0,0.0
104,0.0,0.0,0.0,1.0
105,0.0,3.0,0.0,3.0
106,0.0,0.0,1.0,1.0
107,0.0,0.0,0.0,1.0
108,0.0,1.0,1.0,0.0
109,0.0,0.0,1.0,0.0
110,0.0,0.0,0.0,0.0
111,0.0,1.0,0.0,0.0
112,0.0,0.0,7.0,0.0
113,1.0,1.0,0.0,0.0
114,0.0,0.0,0.0,0.0
115,0.0,0.0,2.0,2.0
116,0.0,0.0,1.0,3.0
117,0.0,0.0,2.0,0.0
118,0.0,0.0,0.0,2.0
119,1.0,0.0,1.0,0.0
120,0.0,0.0,0.0,2.0
121,0.0,0.0,1.0,0.0
122,0.0,2.0,1.0,0.0
123,1.0,0.0,0.0,0.0
124,0.0,2.0,3.0,3.0
125,4.0,2.0,0.0,2.0
126,0.0,0.0,0.0,0.0
127,2.0,0.0,1.0,0.0
128,0.0,0.0,1.0,1.0
129,1.0,3.0,0.0,2.0
130,1.0,0.0,1.0,0.0
131,1.0,0.0,2.0,1.0
132,1.0,1.0,0.0,0.0
133,0.0,0.0,6.0,0.0
134,0.0,0.0,9.0,0.0
135,1.0,2.0,0.0,1.0
136,0.0,1.0,1.0,1.0
137,0.0,0.0,0.0,0.0
138,0.0,0.0,0.0,0.0
139,0.0,0.0,0.0,0.0
140,0.0,0.0,0.0,0.0
141,0.0,0.0,0.0,0.0
142,1.0,1.0,4.0,1.0
143,2.0,1.0,3.0,3.0
